ID,text,target,stance,stance:confidence,against_reason,favor_reason,none_reason,sarcasm,sarcasm:confidence,sentiment,sentiment:confidence,datetime,Date
1, عشان يلمع صورته ويعنني تمكين المرأة ويصير ترند والحكومة هي اكثر من تقمع المرأة اخر شيء كل الي فرحانين بالقرار ودارسين قانون متوظفين كاشير في مول راتبهم 3 الاف,Women empowerment,Against,0.5116,A_Explicit,,,No,1,Negative,1,2021-01-16 03:19:19+00:00,16/01/2021
3, روح حلل محد يم تطعيم كورونا شف الحرم البارح مليونين بدون شرط تحصين😅,Covid Vaccine,None,0.4003,,,Not clear,Yes,0.599,Neutral,0.618,2022-04-28 11:12:56+00:00,28/04/2022
4,هذا ما يُعرّف بـ'فوبيا المرأة المُتمكنة' آفة فكرية تغزو عقول بعض الرجال حيث إنه إذ رأى تمكين للمرأة حتى ولو كان بسيطًا فهو من المرجح بالطبع ربطه للموضوع مع - النسوية - وأتهام الفكرة بأكملها بالشيطنة والخبث . URL,Women empowerment,Favor,0.8171,,F_Explicit,,Yes,0.8145,Negative,0.8251,2022-04-02 07:45:42+00:00,02/04/2022
6,#LEAP22  مؤتمر يجمع اشهر وابرز المؤثرين في المجال التقني  ومن خلاله السعودية تستعرض قدرتها في التحول الرقمي اللي تشهدها كافة قطاعاتها 👌🏼 URL,Digital Transformation,Favor,1,,F_Explicit,,No,1,Positive,0.7531,2022-02-02 18:24:09+00:00,02/02/2022
7,خصوصية البيانات وحمايتها في المنظمة مطلب ولكن لا ينبغي أن تكون ذريعة لسد الطريق امام التحول التقني لأننا نجهل كيف نحمي بياناتنا في هذا الفضاء التقني. بل أن عملية التحول الرقمي ليست خيارًا نقبله أو نرفضه ونحن قطاع يتسم بالشفافية والمشاركة مع المجتمع وأصحاب المصلحة.,Digital Transformation,Favor,0.7559,,F_Explicit,,No,1,Neutral,0.8116,2022-03-27 10:36:04+00:00,27/03/2022
8, فخورين بنساء الوطن 🇸🇦 وكلنا فخر بتقدم تمكين المرأه يوم بعد يوم ؛ الله يديم حكومتنا ؛ ويحفظ بلادنا ويعزها 🤍..,Women empowerment,Favor,1,,F_Explicit,,No,1,Positive,1,2021-03-08 14:54:45+00:00,08/03/2021
9, ههههههههههههههه ماعليك زمن تمكين المرأة ماراح يسوون لك شي 😂,Women empowerment,None,0.7842,,,Not clear,Yes,1,Neutral,0.6027,2022-04-09 19:32:46+00:00,09/04/2022
10,"كعادة البشر ذوي العقليات المحدودة والكسولة الكل هاجمه وانتقده ووصفوه بالجنون والغباء وووو الخ"" نفس سالفة التحول الرقمي والدفع الالكتروني"" لكن المصيبة ان كلامه طلع صح ونجح !!!!",Digital Transformation,Favor,1,,F_Explicit,,No,0.8808,Negative,0.645,2021-05-02 00:32:17+00:00,02/05/2021
11,MENTION MENTION MENTION وش فائدة اللقاح بما انه تم تطعيم  ٥٠ بالميه من السكان والاصابات كل يوم تزيد  وش الفايده ؟؟؟  يقول مايمنع الاصابه لكن يخففها  كورونا في الاصل الشفاء منها وصل ٩٩ بالميه  يعني اللقاح يعطينا ١٠٠ بالميه ؟؟  كلنا نسمع ونعرف ناس انصابوا وهم اخذين اللقاح ونقلوا العدوى لمجموعه,Covid Vaccine,Against,0.8233,A_Explicit,,,No,1,Negative,1,2021-06-17 12:43:40+00:00,17/06/2021
12,من يتمعن فيما يجري اليوم في الأوساط العلمية البحثية على جميع الأصعدة من اهتمام مستميت بالتحول من الواقع إلى الافتراض -التحول الرقمي الإلكتروني- وإحلال الآلات وتقنيات الذكاء الصناعي  سيعلم ما هو كورونا  ولماذا تم غلق العالم انتقائياً  وتعطيل الاقتصاد..الخ   URL,Digital Transformation,Against,0.6966,A_Explicit,,,No,1,Negative,0.4731,2021-03-01 19:21:57+00:00,01/03/2021
